ALG081+1      >600     >600     >600     >600     >600     >600     
ALG082+1      >600     >600     >600     >600     >600     >600     
ALG083+1      >600     >600     >600     >600     >600     >600     
ALG084+1      >600     >600     >600     >600     >600     >600     
ALG085+1      >600     >600     >600     >600     >600     >600     
ALG086+1      >600     >600     >600     >600     >600     >600     
ALG087+1      >600     >600     >600     >600     >600     >600     
ALG088+1      >600     >600     >600     >600     >600     >600     
ALG089+1      >600     >600     >600     >600     >600     >600     
ALG090+1      >600     >600     >600     >600     >600     stack    
ALG091+1      >600     >600     >600     >600     >600     stack    
ALG092+1      >600     >600     >600     >600     >600     stack    
ALG093+1      >600     >600     >600     >600     stack    stack    
ALG094+1      >600     >600     >600     >600     >600     stack    
ALG095+1      >600     >600     >600     >600     >600     stack    
ALG096+1      >600     >600     >600     >600     stack    >600     
ALG097+1      >600     stack    >600     stack    stack    >600     
ALG098+1      >600     >600     >600     stack    stack    >600     
ALG099+1      >600     stack    >600     stack    stack    stack    
ALG100+1      >600     >600     >600     >600     stack    stack    
ALG101+1      >600     >600     >600     >600     stack    stack    
ALG102+1      >600     stack    stack    stack    >600     stack    
ALG103+1      >600     stack    stack    >600     >600     stack    
ALG104+1      >600     stack    stack    stack    >600     stack    
ALG105+1      >600     >600     >600     >600     >600     >600     
ALG106+1      >600     stack    stack    stack    >600     stack    
ALG107+1      >600     >600     >600     >600     >600     >600     
ALG108+1      >600     stack    stack    stack    >600     stack    
ALG109+1      >600     stack    stack    stack    >600     stack    
ALG110+1      >600     stack    stack    stack    >600     >600     
ALG111+1      >600     stack    stack    stack    >600     >600     
ALG112+1      >600     >600     >600     >600     >600     >600     
ALG113+1      >600     >600     >600     >600     >600     >600     
ALG114+1      >600     stack    stack    stack    >600     >600     
ALG115+1      >600     >600     >600     >600     >600     stack    
ALG116+1      >600     >600     >600     >600     >600     >600     
ALG117+1      >600     stack    stack    stack    >600     >600     
ALG118+1      >600     >600     >600     >600     >600     stack    
ALG119+1      >600     stack    stack    >600     >600     stack    
ALG120+1      >600     stack    stack    stack    >600     stack    
ALG121+1      >600     stack    stack    stack    >600     stack    
ALG122+1      >600     stack    stack    stack    >600     stack    
ALG123+1      >600     stack    stack    stack    >600     stack    
ALG124+1      >600     stack    stack    >600     >600     >600     
ALG125+1      >600     stack    stack    stack    >600     >600     
ALG126+1      >600     stack    stack    stack    >600     stack    
ALG127+1      >600     stack    stack    stack    >600     stack    
ALG128+1      >600     stack    stack    stack    >600     stack    
ALG129+1      >600     stack    stack    stack    >600     stack    
ALG130+1      >600     >600     >600     >600     >600     >600     
ALG131+1      >600     stack    >600     stack    >600     stack    
ALG132+1      >600     >600     >600     >600     >600     >600     
ALG133+1      >600     stack    >600     stack    >600     stack    
ALG134+1      >600     stack    >600     stack    >600     stack    
ALG135+1      >600     stack    >600     stack    >600     >600     
ALG136+1      >600     stack    >600     stack    >600     >600     
ALG137+1      >600     >600     >600     >600     >600     >600     
ALG138+1      >600     >600     >600     >600     >600     >600     
ALG139+1      >600     stack    >600     stack    >600     >600     
ALG140+1      >600     >600     >600     >600     >600     stack    
ALG141+1      >600     >600     >600     >600     >600     >600     
ALG142+1      >600     >600     >600     stack    >600     >600     
ALG143+1      >600     >600     >600     >600     >600     stack    
ALG144+1      >600     stack    >600     stack    >600     stack    
ALG145+1      >600     stack    >600     stack    >600     stack    
ALG146+1      >600     stack    >600     stack    >600     stack    
ALG147+1      >600     stack    >600     stack    >600     stack    
ALG148+1      >600     stack    >600     stack    >600     stack    
ALG149+1      >600     stack    >600     stack    >600     >600     
ALG150+1      >600     stack    >600     stack    >600     >600     
ALG151+1      >600     stack    >600     stack    >600     stack    
ALG152+1      >600     stack    >600     stack    >600     stack    
ALG153+1      >600     stack    >600     stack    >600     stack    
ALG154+1      >600     >600     >600     >600     >600     stack    
ALG155+1      >600     >600     >600     >600     >600     stack    
ALG156+1      >600     >600     >600     >600     >600     stack    
ALG157+1      >600     >600     >600     >600     >600     stack    
ALG158+1      >600     >600     >600     >600     >600     stack    
ALG159+1      >600     >600     >600     >600     >600     stack    
ALG160+1      >600     >600     >600     >600     >600     stack    
ALG161+1      >600     >600     >600     stack    >600     stack    
ALG162+1      >600     >600     >600     >600     >600     stack    
ALG163+1      >600     >600     >600     >600     >600     stack    
ALG164+1      >600     >600     >600     >600     >600     stack    
ALG165+1      >600     >600     >600     >600     >600     >600     
ALG166+1      >600     stack    stack    stack    >600     >600     
ALG167+1      >600     stack    stack    stack    >600     >600     
ALG168+1      >600     >600     >600     >600     >600     stack    
ALG169+1      >600     >600     >600     >600     >600     stack    
ALG170+1      >600     stack    stack    stack    stack    >600     
ALG171+1      >600     stack    stack    stack    >600     >600     
ALG172+1      >600     stack    stack    stack    >600     >600     
ALG173+1      >600     stack    stack    stack    >600     >600     
ALG174+1      >600     stack    stack    stack    >600     >600     
ALG175+1      >600     >600     >600     >600     >600     >600     
ALG176+1      >600     >600     segmf    >600     >600     >600     
ALG177+1      >600     >600     segmf    >600     >600     >600     
ALG178+1      >600     >600     segmf    >600     >600     >600     
ALG179+1      >600     >600     segmf    >600     >600     >600     
ALG180+1      >600     >600     >600     >600     >600     >600     
ALG181+1      >600     >600     >600     >600     >600     >600     
ALG182+1      >600     >600     >600     >600     >600     >600     
ALG183+1      >600     >600     >600     >600     >600     >600     
ALG184+1      >600     >600     >600     >600     >600     >600     
ALG185+1      >600     >600     >600     >600     >600     >600     
ALG186+1      >600     >600     >600     >600     >600     stack    
ALG187+1      >600     >600     >600     >600     >600     stack    
ALG188+1      >600     >600     >600     >600     >600     stack    
ALG189+1      >600     >600     >600     >600     >600     stack    
ALG190+1      >600     stack    >600     stack    stack    >600     
ALG191+1      >600     stack    >600     stack    stack    >600     
ALG192+1      >600     >600     >600     >600     stack    >600     
ALG193+1      >600     >600     >600     >600     stack    >600     
ALG194+1      >600     >600     >600     >600     >600     >600     
ALG195+1      >600     stack    stack    stack    >600     stack    
ALG196+1      >600     >600     stack    >600     >600     stack    
ALG197+1      >600     >600     stack    >600     >600     stack    
ALG198+1      252.13   stack    stack    stack    0.01     0.03     
ALG199+1      >600     stack    stack    >600     0.01     17.05    
ALG200+1      378.78   stack    stack    >600     0.01     0.03     
ALG201+1      >600     >600     segmf    >600     >600     0.70     
ALG202+1      >600     >600     segmf    >600     >600     >600     
ALG203+1      >600     >600     segmf    >600     >600     >600     
ALG204+1      >600     >600     >600     >600     >600     >600     
ALG205+1      >600     >600     >600     >600     >600     >600     
ALG206+1      >600     >600     >600     >600     >600     >600     
ALG207+1      >600     >600     >600     >600     >600     stack    
ALG208+1      >600     >600     >600     >600     >600     stack    
ALG209+1      >600     >600     >600     >600     >600     stack    
ALG210+1      >600     >600     stack    >600     >600     >600     
ALG210+2      >600     >600     stack    >600     >600     >600     
ALG211+1      >600     >600     stack    >600     >600     0.03     
COM003+1      >600     >600     0.49     >600     >600     >600     
COM003+2      >600     >600     stack    >600     >600     25.06    
